name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating,record_datetime
Maypo,A,H,100.8294501,4,1,0,0,16,3,95,25,2,1,1,54.850917,2021-03-09 10:28:22
Mueslix Crispy Blend,K,C,160.0079417,3,2,150,3,17,13,160,25,3,1.5,0.67,30.313351,2021-05-02 09:13:11
Multi-Grain Cheerios,G,C,100.5368843,2,1,220,2,15,6,90,25,1,1,1,40.105965,2020-07-25 11:29:41
Nut&Honey Crunch,K,C,120.0940292,2,1,190,0,15,9,40,25,2,1,0.67,29.924285,2019-05-15 15:16:01
Nutri-Grain Almond-Raisin,K,C,140.3599354,3,2,220,3,21,7,130,25,3,1.33,0.67,40.69232,2020-08-16 04:20:37
Nutri-grain Wheat,K,C,90.81464816,3,0,170,3,18,2,90,25,3,1,1,59.642837,2020-02-26 23:42:13
Oatmeal Raisin Crisp,G,C,130.6766973,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,30.450843,2022-09-06 22:09:35
Post Nat. Raisin Bran,,C,120.2097733,3,1,200,6,11,14,260,25,3,1.33,0.67,37.840594,2019-05-12 06:39:13
Product 19,K,C,100.5879696,3,0,320,1,20,3,45,100,3,1,1,41.50354,2022-10-29 03:53:35
Puffed Rice,Q,C,50.41976929,1,0,0,0,13,0,15,0,3,0.5,1,60.756112,2021-11-02 00:17:19
Puffed Wheat,Q,C,50.8525005,2,0,0,1,10,0,50,0,3,0.5,1,63.005645,2020-09-04 18:17:31
Quaker Oat Squares,Q,C,100.156543,4,1,135,2,14,6,110,25,3,1,0.5,49.511874,2020-02-05 10:00:42
Quaker Oatmeal,Q,H,100.9627315,5,2,0,2.7,-1,-1,110,0,1,1,0.67,50.828392,2022-02-22 23:52:32
Raisin Bran,K,C,120.48639,3,1,210,5,14,12,240,25,2,1.33,0.75,39.259197,2021-06-05 01:19:19
Raisin Nut Bran,G,C,100.4030388,3,2,140,2.5,10.5,8,140,25,3,1,0.5,39.7034,2020-02-10 21:35:19
Raisin Squares,K,C,90.15037945,2,0,0,2,15,6,110,25,3,1,0.5,55.333142,2022-02-17 04:22:18
Rice Chex,R,C,110.5818145,1,0,240,0,23,2,30,25,1,1,1.13,41.998933,2022-01-16 23:53:54
Rice Krispies,K,,110.0782096,2,0,290,0,22,3,35,25,1,1,1,40.560159,2020-04-02 19:04:49
Shredded Wheat,N,C,80.9099756,2,0,,3,16,0,95,0,1,0.83,1,68.235885,2020-05-24 09:15:23
Shredded Wheat 'n'Bran,N,C,90.74680112,3,0,0,4,19,0,140,0,1,1,0.67,74.472949,2021-10-08 17:55:04
Shredded Wheat spoon size,N,C,90.50617131,3,0,0,3,20,0,120,0,1,1,0.67,72.801787,2020-02-22 19:38:40
Smacks,K,C,110.9887188,2,1,70,1,9,,40,25,2,1,0.75,31.230054,2022-01-21 08:59:00
Special K,K,C,110.0136254,6,0,230,1,16,3,55,25,,1,1,53.131324,2019-02-28 03:38:35
Strawberry Fruit Wheats,N,C,90.18408811,2,0,15,3,15,5,90,25,2,1,1,59.363993,2022-11-11 16:50:36
Total Corn Flakes,G,C,110.717464,2,1,200,0,21,3,35,100,3,1,1,38.839746,2022-12-20 17:26:15
Total Raisin Bran,G,C,140.2597463,3,1,190,4,15,14,230,100,3,1.5,1,28.592785,2021-04-22 22:03:55
Total Whole Grain,G,C,100.7602233,3,1,200,3,16,3,110,100,3,1,1,,2021-11-12 13:33:06
Triples,,C,110.820338,2,1,250,0,21,3,60,25,3,1,0.75,39.106174,2020-05-21 00:44:07
Trix,G,C,110.90033,1,1,140,,13,12,25,25,2,1,1,27.753301,2020-05-10 06:38:10
Wheat Chex,R,C,100.0127106,3,1,230,3,17,3,115,25,1,1,0.67,49.787445,2022-03-13 20:22:23
Wheaties,G,C,100.7987627,3,1,,,17,3,110,25,1,1,1,51.592193,2019-08-17 14:41:08
Wheaties Honey Gold,G,C,110.8402813,2,1,200,1,16,8,60,25,1,1,0.75,36.187559,2022-03-22 13:30:39
